crop,soil_type,nitrogen_min,nitrogen_max,phosphorus_min,phosphorus_max,potassium_min,potassium_max,ph_min,ph_max,temp_min,temp_max,humidity_min,humidity_max,rain_min,rain_max,moisture_min,moisture_max,season
Summer Squash,loamy,80.0,100.0,40.0,50.0,60.0,80.0,6.0,7.0,20.0,30.0,50.0,70.0,600.0,800.0,50.0,60.0,zaid
Winter Squash,clay_loam,80.0,100.0,40.0,60.0,80.0,100.0,6.0,7.0,20.0,30.0,50.0,70.0,600.0,1000.0,50.0,60.0,kharif
Spaghetti Sq.,sandy_loam,80.0,100.0,40.0,50.0,60.0,80.0,6.0,7.0,20.0,30.0,50.0,70.0,600.0,800.0,50.0,60.0,zaid
Acorn Squash,loamy,80.0,100.0,40.0,50.0,60.0,80.0,6.0,7.0,20.0,30.0,50.0,70.0,600.0,800.0,50.0,60.0,zaid
Chayote,loamy,80.0,100.0,40.0,50.0,60.0,80.0,5.5,6.5,15.0,25.0,70.0,80.0,1000.0,1500.0,60.0,70.0,hills
Sponge Gourd,sandy_loam,60.0,80.0,30.0,40.0,40.0,60.0,6.0,7.0,25.0,35.0,60.0,80.0,600.0,1000.0,50.0,60.0,kharif/zaid
Gherkin,sandy_loam,60.0,80.0,30.0,40.0,40.0,60.0,6.0,7.0,25.0,35.0,50.0,70.0,500.0,800.0,40.0,50.0,kharif/zaid
Tindora,loamy,60.0,80.0,30.0,40.0,40.0,60.0,6.0,7.0,25.0,35.0,60.0,80.0,600.0,1000.0,50.0,60.0,year_round
Spine Gourd,sandy_loam,60.0,80.0,30.0,40.0,40.0,60.0,6.0,7.0,25.0,35.0,60.0,80.0,800.0,1200.0,50.0,60.0,kharif
Sword Bean,loamy,20.0,30.0,40.0,50.0,20.0,30.0,5.5,7.5,25.0,35.0,50.0,70.0,600.0,1000.0,40.0,50.0,kharif
Jack Bean,clay_loam,20.0,30.0,40.0,50.0,20.0,30.0,5.5,7.5,25.0,35.0,50.0,70.0,600.0,1000.0,40.0,50.0,kharif
Rice Bean,loamy,15.0,20.0,30.0,40.0,15.0,20.0,6.0,7.0,25.0,35.0,50.0,70.0,600.0,1000.0,40.0,50.0,kharif
Moth Bean,sandy,10.0,20.0,20.0,30.0,10.0,20.0,6.5,8.0,25.0,40.0,30.0,50.0,300.0,500.0,20.0,30.0,kharif
Adzuki Bean,loamy,15.0,20.0,30.0,40.0,15.0,20.0,6.0,7.0,20.0,30.0,50.0,70.0,500.0,800.0,40.0,50.0,kharif
Lima Bean,loamy,20.0,30.0,40.0,50.0,30.0,40.0,6.0,7.0,15.0,25.0,60.0,70.0,600.0,1000.0,50.0,60.0,rabi
Runner Bean,clay_loam,20.0,30.0,40.0,50.0,30.0,40.0,6.0,7.0,15.0,25.0,60.0,70.0,600.0,1000.0,50.0,60.0,rabi
Faba Bean,clay_loam,20.0,30.0,40.0,50.0,30.0,40.0,6.0,7.5,15.0,25.0,50.0,70.0,500.0,800.0,40.0,50.0,rabi
Pigeon Pea,loamy,20.0,30.0,40.0,50.0,20.0,30.0,6.0,7.5,20.0,30.0,50.0,60.0,600.0,800.0,40.0,50.0,kharif
Chickpea,black,15.0,20.0,30.0,40.0,15.0,20.0,6.0,7.0,15.0,25.0,40.0,50.0,300.0,450.0,30.0,40.0,rabi
Lentil,clay_loam,15.0,20.0,30.0,40.0,15.0,20.0,6.0,7.0,15.0,25.0,40.0,50.0,300.0,450.0,30.0,40.0,rabi
Grass Pea,clay,10.0,20.0,20.0,30.0,10.0,20.0,6.0,7.5,15.0,25.0,40.0,50.0,300.0,500.0,30.0,40.0,rabi
Buckwheat,sandy_loam,40.0,50.0,20.0,30.0,20.0,30.0,5.5,6.5,15.0,25.0,50.0,70.0,600.0,1000.0,40.0,50.0,hills/sum
Quinoa,sandy_loam,40.0,60.0,30.0,40.0,30.0,40.0,6.0,7.5,15.0,25.0,40.0,60.0,300.0,600.0,30.0,40.0,rabi
Amaranth (Grain),loamy,40.0,60.0,30.0,40.0,30.0,40.0,6.0,7.5,20.0,30.0,50.0,70.0,400.0,800.0,40.0,50.0,kharif
Chia,sandy_loam,30.0,50.0,20.0,30.0,20.0,30.0,6.0,7.5,20.0,30.0,40.0,60.0,400.0,800.0,30.0,40.0,kharif/rabi
Flaxseed,clay_loam,40.0,50.0,20.0,30.0,20.0,30.0,6.0,7.0,15.0,25.0,40.0,50.0,450.0,600.0,35.0,45.0,rabi
Hemp,loamy,60.0,80.0,30.0,40.0,40.0,50.0,6.0,7.0,20.0,30.0,50.0,70.0,600.0,1000.0,40.0,50.0,kharif
Kenaf,clay_loam,60.0,80.0,30.0,40.0,40.0,50.0,6.0,7.0,25.0,35.0,60.0,80.0,800.0,1200.0,50.0,60.0,kharif
Mesta,loamy,60.0,80.0,30.0,40.0,40.0,50.0,6.0,7.0,25.0,35.0,60.0,80.0,800.0,1200.0,50.0,60.0,kharif
Ramie,loamy,80.0,100.0,40.0,50.0,60.0,80.0,5.5,6.5,25.0,35.0,70.0,80.0,1500.0,2500.0,60.0,70.0,year_round
Sisal,sandy,20.0,40.0,10.0,20.0,20.0,30.0,6.0,8.0,25.0,40.0,40.0,60.0,500.0,1000.0,30.0,40.0,year_round
Abaca,loamy,80.0,100.0,40.0,50.0,60.0,80.0,5.5,6.5,25.0,35.0,70.0,90.0,2000.0,3000.0,70.0,80.0,year_round
Sunhemp,sandy_loam,10.0,20.0,30.0,40.0,20.0,30.0,6.0,7.5,25.0,35.0,50.0,70.0,500.0,1000.0,40.0,50.0,kharif
Dhaincha,clay,10.0,20.0,30.0,40.0,20.0,30.0,6.0,8.5,25.0,35.0,50.0,80.0,600.0,1200.0,50.0,80.0,kharif
Pillipesara,clay_loam,10.0,20.0,20.0,30.0,10.0,20.0,6.5,8.0,25.0,35.0,50.0,70.0,600.0,1000.0,40.0,60.0,kharif
Centrosema,loamy,10.0,20.0,20.0,30.0,10.0,20.0,5.5,7.0,25.0,35.0,60.0,80.0,1000.0,2000.0,50.0,70.0,year_round
Calopogonium,clay_loam,10.0,20.0,20.0,30.0,10.0,20.0,5.5,7.0,25.0,35.0,60.0,80.0,1000.0,2000.0,50.0,70.0,year_round
Pueraria,loamy,10.0,20.0,20.0,30.0,10.0,20.0,5.5,7.0,25.0,35.0,60.0,80.0,1500.0,2500.0,60.0,80.0,year_round
Mucuna,sandy_loam,10.0,20.0,20.0,30.0,10.0,20.0,5.5,7.0,25.0,35.0,60.0,80.0,1000.0,2000.0,50.0,70.0,kharif
Stylosanthes,sandy_loam,10.0,20.0,20.0,30.0,10.0,20.0,5.5,7.5,25.0,35.0,50.0,70.0,600.0,1200.0,40.0,60.0,year_round
Desmanthus,loamy,10.0,20.0,20.0,30.0,10.0,20.0,6.0,8.0,25.0,35.0,50.0,70.0,500.0,1000.0,40.0,50.0,year_round
Siratro,sandy_loam,10.0,20.0,20.0,30.0,10.0,20.0,6.0,7.5,25.0,35.0,50.0,70.0,600.0,1200.0,40.0,60.0,year_round
Guinea Grass,loamy,100.0,120.0,40.0,50.0,40.0,50.0,5.5,7.0,25.0,35.0,60.0,80.0,800.0,1500.0,50.0,70.0,year_round
Para Grass,clay,100.0,120.0,40.0,50.0,40.0,50.0,6.0,7.5,25.0,35.0,70.0,90.0,1000.0,2000.0,70.0,90.0,year_round
Rhodes Grass,sandy_loam,80.0,100.0,30.0,40.0,30.0,40.0,6.0,8.0,25.0,35.0,40.0,60.0,500.0,1000.0,30.0,50.0,year_round
Blue Panic,sandy,60.0,80.0,20.0,30.0,20.0,30.0,6.5,8.5,25.0,40.0,30.0,50.0,300.0,600.0,20.0,40.0,year_round
Dinanath Grass,loamy,80.0,100.0,30.0,40.0,30.0,40.0,6.0,7.5,25.0,35.0,50.0,70.0,600.0,1000.0,40.0,60.0,kharif
Sudan Grass,loamy,80.0,100.0,30.0,40.0,30.0,40.0,6.0,8.0,25.0,35.0,40.0,60.0,400.0,800.0,30.0,50.0,kharif
Teosinte,clay_loam,100.0,120.0,40.0,50.0,40.0,50.0,6.0,7.5,25.0,35.0,50.0,70.0,600.0,1000.0,50.0,60.0,kharif
Job's Tears,loamy,60.0,80.0,30.0,40.0,30.0,40.0,5.5,7.0,20.0,30.0,60.0,80.0,1000.0,2000.0,60.0,80.0,kharif
Napier Hybrid,loamy,150.0,200.0,40.0,60.0,40.0,60.0,6.0,7.5,25.0,35.0,60.0,80.0,1000.0,1500.0,60.0,70.0,year_round
Marvel Grass,clay_loam,60.0,80.0,20.0,30.0,20.0,30.0,6.5,8.0,25.0,35.0,40.0,60.0,500.0,800.0,30.0,50.0,year_round
Spear Grass,sandy,40.0,60.0,10.0,20.0,10.0,20.0,6.0,8.0,25.0,40.0,30.0,50.0,400.0,800.0,20.0,40.0,year_round
Chrysopogon,sandy_loam,40.0,60.0,10.0,20.0,10.0,20.0,6.0,8.0,25.0,40.0,30.0,50.0,400.0,800.0,20.0,40.0,year_round
Cenchrus,sandy,40.0,60.0,20.0,30.0,20.0,30.0,6.5,8.5,25.0,40.0,30.0,50.0,300.0,600.0,20.0,40.0,year_round
Lasiurus,sandy,40.0,60.0,10.0,20.0,10.0,20.0,7.0,8.5,25.0,45.0,20.0,40.0,100.0,400.0,10.0,30.0,year_round
Dichanthium,clay,60.0,80.0,20.0,30.0,20.0,30.0,6.5,8.5,25.0,40.0,30.0,50.0,400.0,800.0,30.0,50.0,year_round
Sehima,sandy_loam,40.0,60.0,10.0,20.0,10.0,20.0,6.0,8.0,25.0,40.0,30.0,50.0,400.0,800.0,20.0,40.0,year_round
Iseilema,loamy,40.0,60.0,10.0,20.0,10.0,20.0,6.0,7.5,25.0,35.0,40.0,60.0,500.0,1000.0,30.0,50.0,year_round
Vetiver (Oil),sandy,40.0,60.0,20.0,30.0,20.0,30.0,6.5,8.0,25.0,35.0,50.0,60.0,1000.0,1500.0,40.0,50.0,year_round
Geranium(Oil),sandy_loam,100.0,120.0,40.0,50.0,60.0,80.0,6.0,7.0,15.0,25.0,60.0,80.0,1000.0,1500.0,50.0,60.0,hills/winter
Patchouli(Oil),loamy,100.0,120.0,40.0,50.0,40.0,50.0,5.5,6.5,25.0,30.0,70.0,80.0,1500.0,2000.0,60.0,70.0,year_round
Lavender,sandy_loam,60.0,80.0,30.0,40.0,40.0,50.0,6.5,7.5,15.0,25.0,40.0,60.0,500.0,800.0,30.0,50.0,hills/winter
Rosemary,sandy_loam,60.0,80.0,30.0,40.0,40.0,50.0,6.0,7.5,15.0,25.0,40.0,60.0,500.0,800.0,30.0,50.0,hills/winter
Thyme,sandy_loam,40.0,60.0,20.0,30.0,30.0,40.0,6.0,7.5,15.0,25.0,40.0,60.0,400.0,700.0,30.0,50.0,hills/winter
Oregano,loamy,60.0,80.0,30.0,40.0,40.0,50.0,6.0,7.5,15.0,25.0,50.0,70.0,500.0,800.0,40.0,60.0,hills/winter
Marjoram,loamy,60.0,80.0,30.0,40.0,40.0,50.0,6.0,7.0,20.0,30.0,50.0,70.0,600.0,900.0,40.0,60.0,year_round
Sage,sandy_loam,60.0,80.0,30.0,40.0,40.0,50.0,6.0,7.0,15.0,25.0,40.0,60.0,500.0,800.0,30.0,50.0,hills/winter
Parsley,loamy,80.0,100.0,40.0,50.0,60.0,80.0,6.0,7.0,15.0,25.0,50.0,70.0,500.0,800.0,50.0,60.0,rabi
Celery,peaty,100.0,120.0,60.0,80.0,80.0,100.0,6.0,7.0,15.0,20.0,70.0,80.0,600.0,800.0,70.0,80.0,rabi
Dill,loamy,40.0,60.0,20.0,30.0,30.0,40.0,6.0,7.0,15.0,25.0,40.0,60.0,400.0,600.0,30.0,50.0,rabi
Caraway,loamy,40.0,60.0,20.0,30.0,30.0,40.0,6.0,7.0,15.0,25.0,40.0,60.0,400.0,600.0,30.0,50.0,rabi
Aniseed,loamy,40.0,60.0,20.0,30.0,30.0,40.0,6.0,7.0,15.0,25.0,40.0,60.0,400.0,600.0,30.0,50.0,rabi
Asafoetida,sandy_loam,20.0,30.0,10.0,20.0,20.0,30.0,6.5,8.0,15.0,30.0,30.0,50.0,200.0,500.0,20.0,40.0,hills/winter
Kalpasi,rock/bark,40.0,60.0,30.0,40.0,30.0,40.0,6.0,7.5,15.0,25.0,70.0,90.0,1500.0,3000.0,80.0,100.0,hills
Orchid,bark/peat,10.0,20.0,10.0,20.0,10.0,20.0,5.5,6.5,18.0,28.0,70.0,90.0,1500.0,3000.0,70.0,90.0,hills
Anthurium,peaty,20.0,30.0,10.0,20.0,20.0,30.0,5.5,6.5,20.0,30.0,70.0,90.0,1500.0,2500.0,70.0,90.0,hills
Carnation,loamy,100.0,120.0,80.0,100.0,100.0,120.0,6.0,7.0,15.0,25.0,50.0,70.0,500.0,800.0,50.0,60.0,hills/winter
Gerbera,sandy_loam,80.0,100.0,60.0,80.0,80.0,100.0,5.5,6.5,15.0,25.0,50.0,70.0,600.0,1000.0,50.0,60.0,hills/winter
Gladiolus,sandy_loam,80.0,100.0,60.0,80.0,80.0,100.0,6.0,7.0,15.0,25.0,50.0,70.0,600.0,1000.0,50.0,60.0,hills/winter
Lily,loamy,60.0,80.0,40.0,60.0,60.0,80.0,6.0,7.0,15.0,25.0,50.0,70.0,600.0,1000.0,50.0,60.0,hills/winter
Tulip,sandy_loam,60.0,80.0,40.0,60.0,60.0,80.0,6.0,7.0,10.0,20.0,50.0,70.0,500.0,800.0,40.0,60.0,hills/winter
Iris,loamy,40.0,60.0,30.0,40.0,40.0,60.0,6.5,7.5,15.0,25.0,50.0,70.0,500.0,800.0,40.0,60.0,hills/winter
Freesia,sandy_loam,40.0,60.0,30.0,40.0,40.0,60.0,6.0,7.0,15.0,25.0,50.0,70.0,500.0,800.0,40.0,60.0,hills/winter
Snapdragon,loamy,60.0,80.0,40.0,60.0,60.0,80.0,6.0,7.0,15.0,25.0,50.0,70.0,500.0,800.0,40.0,60.0,winter
Petunia,sandy_loam,60.0,80.0,40.0,60.0,60.0,80.0,6.0,7.0,15.0,25.0,50.0,70.0,500.0,800.0,40.0,60.0,winter
Pansy,loamy,40.0,60.0,30.0,40.0,40.0,60.0,6.0,7.0,10.0,20.0,50.0,70.0,400.0,600.0,40.0,60.0,winter
Salvia,loamy,60.0,80.0,40.0,60.0,60.0,80.0,6.0,7.0,15.0,25.0,50.0,70.0,500.0,800.0,40.0,60.0,winter
Zinnia,loamy,60.0,80.0,40.0,60.0,60.0,80.0,6.0,7.0,20.0,30.0,50.0,70.0,500.0,800.0,40.0,60.0,summer
Balsam,loamy,40.0,60.0,30.0,40.0,40.0,60.0,6.0,7.0,20.0,30.0,60.0,80.0,800.0,1200.0,50.0,70.0,kharif
Cockscomb,loamy,60.0,80.0,40.0,60.0,60.0,80.0,6.0,7.0,20.0,30.0,50.0,70.0,600.0,1000.0,40.0,60.0,kharif
Cosmos,sandy_loam,40.0,60.0,30.0,40.0,40.0,60.0,6.0,7.5,20.0,30.0,50.0,70.0,500.0,800.0,40.0,60.0,summer
Dahlia,loamy,80.0,100.0,60.0,80.0,80.0,100.0,6.0,7.0,15.0,25.0,50.0,70.0,600.0,1000.0,50.0,60.0,hills/winter
Aster,loamy,60.0,80.0,40.0,60.0,60.0,80.0,6.0,7.0,15.0,25.0,50.0,70.0,500.0,800.0,40.0,60.0,winter
Bougainvillea,sandy,20.0,40.0,20.0,30.0,40.0,60.0,6.0,8.0,25.0,40.0,40.0,60.0,400.0,800.0,20.0,40.0,year_round
Plumeria,sandy_loam,40.0,60.0,30.0,40.0,60.0,80.0,6.0,7.5,25.0,35.0,50.0,70.0,600.0,1000.0,30.0,50.0,year_round
Ixora,loamy,60.0,80.0,40.0,60.0,60.0,80.0,5.5,6.5,25.0,35.0,60.0,80.0,1000.0,2000.0,50.0,70.0,year_round
Mussaenda,loamy,40.0,60.0,30.0,40.0,40.0,60.0,6.0,7.0,25.0,35.0,60.0,80.0,1000.0,2000.0,50.0,70.0,year_round
Allamanda,loamy,40.0,60.0,30.0,40.0,40.0,60.0,6.0,7.0,25.0,35.0,60.0,80.0,1000.0,2000.0,50.0,70.0,year_round
Adenium,sandy,20.0,30.0,20.0,30.0,40.0,60.0,6.5,8.0,25.0,40.0,30.0,50.0,300.0,600.0,10.0,30.0,year_round
Euphorbia,sandy,20.0,30.0,20.0,30.0,30.0,40.0,6.0,8.0,25.0,40.0,30.0,50.0,300.0,600.0,10.0,30.0,year_round
Kalanchoe,sandy_loam,20.0,30.0,20.0,30.0,30.0,40.0,6.0,7.5,20.0,30.0,40.0,60.0,400.0,800.0,20.0,40.0,year_round
Portulaca,sandy,20.0,30.0,20.0,30.0,20.0,30.0,6.0,7.5,25.0,35.0,40.0,60.0,400.0,800.0,20.0,40.0,year_round
Gomphrena,sandy_loam,40.0,60.0,30.0,40.0,40.0,60.0,6.0,7.0,25.0,35.0,50.0,70.0,600.0,1000.0,40.0,60.0,year_round
Celosia,loamy,40.0,60.0,30.0,40.0,40.0,60.0,6.0,7.0,25.0,35.0,50.0,70.0,600.0,1000.0,40.0,60.0,kharif
Gaillardia,sandy_loam,40.0,60.0,30.0,40.0,40.0,60.0,6.0,7.5,25.0,35.0,40.0,60.0,400.0,800.0,30.0,50.0,summer
Sunflower(Orna),loamy,60.0,80.0,40.0,60.0,60.0,80.0,6.0,7.5,25.0,35.0,50.0,70.0,500.0,800.0,40.0,60.0,summer
Coreopsis,sandy_loam,40.0,60.0,30.0,40.0,40.0,60.0,6.0,7.5,20.0,30.0,50.0,70.0,500.0,800.0,30.0,50.0,summer
Hollyhock,loamy,60.0,80.0,40.0,60.0,60.0,80.0,6.0,7.0,15.0,25.0,50.0,70.0,500.0,800.0,40.0,60.0,winter
Delphinium,loamy,60.0,80.0,40.0,60.0,60.0,80.0,6.0,7.0,10.0,20.0,50.0,70.0,500.0,800.0,40.0,60.0,hills/winter
Foxglove,loamy,60.0,80.0,40.0,60.0,60.0,80.0,6.0,7.0,10.0,20.0,50.0,70.0,600.0,1000.0,50.0,70.0,hills/winter
Lupin,sandy_loam,40.0,60.0,40.0,60.0,40.0,60.0,5.5,7.0,10.0,20.0,50.0,70.0,500.0,800.0,40.0,60.0,hills/winter
Poppy,sandy_loam,40.0,60.0,30.0,40.0,40.0,60.0,6.0,7.0,15.0,25.0,40.0,60.0,400.0,600.0,30.0,50.0,winter
Sweet Pea,loamy,20.0,40.0,40.0,60.0,40.0,60.0,6.0,7.5,10.0,20.0,50.0,70.0,500.0,800.0,40.0,60.0,winter
Morning Glory,sandy_loam,40.0,60.0,30.0,40.0,40.0,60.0,6.0,7.5,20.0,30.0,50.0,70.0,600.0,1000.0,40.0,60.0,summer
Moonflower,loamy,40.0,60.0,30.0,40.0,40.0,60.0,6.0,7.5,20.0,30.0,50.0,70.0,600.0,1000.0,40.0,60.0,summer
Cypress Vine,sandy_loam,40.0,60.0,30.0,40.0,40.0,60.0,6.0,7.5,20.0,30.0,50.0,70.0,600.0,1000.0,40.0,60.0,summer
Butterfly Pea,loamy,20.0,30.0,30.0,40.0,30.0,40.0,6.0,7.5,25.0,35.0,50.0,70.0,800.0,1500.0,40.0,60.0,year_round
Rangoon Creep.,loamy,60.0,80.0,40.0,60.0,60.0,80.0,6.0,7.5,25.0,35.0,60.0,80.0,1000.0,2000.0,50.0,70.0,year_round
Coral Vine,sandy_loam,40.0,60.0,30.0,40.0,40.0,60.0,6.0,7.5,25.0,35.0,50.0,70.0,600.0,1200.0,40.0,60.0,year_round
Passion Flower,loamy,60.0,80.0,40.0,60.0,60.0,80.0,6.0,7.0,20.0,30.0,60.0,80.0,1000.0,1500.0,50.0,70.0,year_round
Golden Shower,loamy,40.0,60.0,30.0,40.0,30.0,40.0,6.0,7.5,25.0,40.0,50.0,70.0,800.0,1500.0,40.0,60.0,long_term
Pink Trumpet,sandy_loam,40.0,60.0,30.0,40.0,30.0,40.0,6.0,7.5,25.0,35.0,50.0,70.0,800.0,1500.0,40.0,60.0,long_term
Copper Pod,loamy,40.0,60.0,30.0,40.0,30.0,40.0,6.0,7.5,25.0,35.0,50.0,70.0,800.0,1500.0,40.0,60.0,long_term
Gulmohar,sandy_loam,40.0,60.0,30.0,40.0,30.0,40.0,6.0,7.5,25.0,40.0,40.0,60.0,600.0,1200.0,30.0,50.0,long_term
Jacaranda,loamy,40.0,60.0,30.0,40.0,30.0,40.0,5.5,7.0,15.0,25.0,60.0,80.0,1000.0,2000.0,50.0,70.0,long_term
Spathodea,loamy,40.0,60.0,30.0,40.0,30.0,40.0,6.0,7.5,25.0,35.0,60.0,80.0,1000.0,2000.0,50.0,70.0,long_term
Rain Tree,clay_loam,40.0,60.0,30.0,40.0,30.0,40.0,6.0,7.5,25.0,35.0,60.0,80.0,1000.0,2500.0,50.0,70.0,long_term
Peltophorum,loamy,40.0,60.0,30.0,40.0,30.0,40.0,6.0,7.5,25.0,35.0,50.0,70.0,800.0,1500.0,40.0,60.0,long_term
Bauhinia,loamy,40.0,60.0,30.0,40.0,30.0,40.0,6.0,7.5,20.0,35.0,50.0,70.0,800.0,1500.0,40.0,60.0,long_term
Cassia Javanica,loamy,40.0,60.0,30.0,40.0,30.0,40.0,6.0,7.5,25.0,35.0,50.0,70.0,800.0,1500.0,40.0,60.0,long_term
Cassia Nodosa,loamy,40.0,60.0,30.0,40.0,30.0,40.0,6.0,7.5,25.0,35.0,50.0,70.0,800.0,1500.0,40.0,60.0,long_term
Butea Monosp.,clay,20.0,40.0,20.0,30.0,20.0,30.0,6.0,8.0,25.0,45.0,30.0,50.0,500.0,1000.0,30.0,50.0,long_term
Bombax Ceiba,sandy_loam,40.0,60.0,30.0,40.0,30.0,40.0,6.0,7.5,25.0,40.0,40.0,60.0,600.0,1500.0,30.0,50.0,long_term
Michelia Cham.,loamy,60.0,80.0,40.0,50.0,40.0,50.0,5.5,7.0,20.0,30.0,70.0,80.0,1500.0,2500.0,50.0,70.0,long_term
Mimusops Elengi,sandy_loam,40.0,60.0,30.0,40.0,30.0,40.0,6.0,7.5,25.0,35.0,60.0,70.0,800.0,1500.0,40.0,60.0,long_term
Neolamarckia,clay_loam,60.0,80.0,40.0,50.0,40.0,50.0,5.5,7.0,25.0,35.0,70.0,80.0,1500.0,2500.0,60.0,80.0,long_term
Saraca Asoca,loamy,40.0,60.0,30.0,40.0,30.0,40.0,6.0,7.5,25.0,35.0,60.0,80.0,1000.0,2000.0,50.0,70.0,long_term
Polyalthia,loamy,40.0,60.0,30.0,40.0,30.0,40.0,6.0,7.5,25.0,35.0,60.0,80.0,1000.0,2000.0,50.0,70.0,long_term
